LocationID,ACCESS2,ARTHRITIS,BINGE,CANCER,CASTHMA,CERVICAL,CHD,CHECKUP,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DIABETES,KIDNEY,LPA,MAMMOUSE,MHLTH,OBESITY,PHLTH,SLEEP,STROKE,TEETHLOST
31015,12.8,24.1,22.9,6.4,8.5,83.7,5.9,68.0,60.6,6.2,23.9,22.1,18.2,65.9,8.6,2.5,25.2,68.1,12.1,36.8,10.7,30.3,2.9,14.1
31017,13.9,24.8,21.9,6.5,9.2,82.9,6.5,68.2,56.8,7.1,24.1,21.9,19.8,62.9,9.4,2.8,28.1,66.7,13.3,38.9,12.1,32.7,3.2,16.6
31019,12.4,21.8,22.7,6.6,8.5,85.3,5.8,68.8,60.4,5.8,27.1,23.9,15.3,67.4,8.8,2.5,25.2,70.6,11.1,36.8,10.2,30.6,2.8,12.8
31021,13.7,23.9,21.0,6.5,8.7,83.7,6.2,69.8,60.2,6.5,22.9,24.3,19.2,59.5,8.7,2.6,27.4,70.5,12.7,39.1,11.3,31.3,3.0,15.4
31023,13.1,23.1,23.5,6.5,8.3,84.4,5.7,68.2,61.9,5.9,24.8,26.6,18.2,63.1,8.5,2.4,24.4,71.1,11.9,35.1,10.0,32.6,2.7,13.3
31025,11.7,24.4,24.3,6.7,8.1,84.7,5.5,70.6,65.8,5.4,25.8,26.2,16.6,65.4,7.8,2.3,23.1,71.5,11.0,43.5,9.4,32.9,2.5,11.9
31027,11.7,22.2,24.3,6.6,8.2,84.3,5.4,67.5,62.8,5.7,24.5,22.6,15.7,63.6,7.7,2.4,23.3,70.9,11.5,37.3,9.6,30.8,2.7,13.3
31029,14.7,22.3,22.4,6.5,8.5,84.4,5.6,67.7,58.4,5.8,23.0,23.7,16.6,64.0,8.5,2.5,23.7,68.4,11.5,37.6,10.2,29.6,2.7,12.7
31031,13.4,24.9,21.5,6.6,9.0,82.3,6.2,68.6,57.8,6.7,21.0,21.0,18.9,62.5,9.0,2.7,26.8,66.6,12.5,35.4,11.3,30.1,3.1,15.7
31033,12.5,22.4,24.3,6.6,8.3,84.2,5.5,68.8,61.2,5.7,23.5,21.5,16.2,65.3,8.4,2.4,23.9,68.0,11.6,36.7,9.9,30.9,2.7,13.1
31035,14.1,24.3,23.3,6.4,8.8,83.8,6.1,69.5,61.2,6.4,25.7,23.5,18.1,61.3,8.9,2.6,26.8,69.1,12.3,38.6,11.0,31.2,2.9,15.1
31037,24.8,23.2,20.6,6.1,8.3,82.0,6.7,69.2,56.7,6.7,20.4,23.6,17.7,59.8,11.1,3.0,32.7,68.1,12.1,42.1,12.1,32.2,3.4,18.7
31039,14.5,22.3,24.7,6.4,8.4,83.7,5.5,67.9,58.3,6.0,22.3,24.7,16.3,64.3,8.1,2.4,25.3,70.2,11.6,39.1,10.4,29.3,2.8,14.7
31041,12.7,22.6,22.9,6.5,8.8,83.4,6.0,68.2,56.0,6.2,21.5,24.7,18.1,61.4,8.7,2.5,24.9,69.7,12.1,38.8,10.6,31.9,2.9,16.0
31043,23.0,21.8,18.4,6.1,8.0,81.4,6.4,70.2,59.7,6.7,19.4,22.1,16.6,60.4,11.6,2.9,33.3,71.8,11.9,36.7,11.6,32.8,3.3,18.0
31045,11.3,22.7,23.6,6.6,8.5,84.6,5.6,69.6,59.8,5.5,25.1,23.5,16.1,67.0,8.3,2.5,21.7,66.6,11.5,34.9,9.7,31.1,2.7,11.3
31047,21.7,23.2,20.4,6.1,8.6,81.2,6.5,67.8,56.7,6.4,22.1,20.3,17.9,61.1,11.0,2.8,28.9,66.7,12.2,37.8,11.5,30.0,3.2,15.6
